lat,lon,alt,date,device,os,version
33.7971687317,-84.3689193726,308.84173584,2012-11-09 02:16:32,"iPhone4,1",6.0.1,1.1
33.7900085449,-84.3726272583,273.498931885,2012-11-09 04:54:24,"iPhone4,1",6.0.1,1.1
33.7865219116,-84.3806228638,303,2012-11-09 05:00:48,"iPhone4,1",6.0.1,1.1
33.7767219543,-84.3966369629,299.626861572,2012-11-09 05:09:20,"iPhone4,1",6.0.1,1.1
33.7866020203,-84.3908996582,289.716247559,2012-11-09 05:15:44,"iPhone4,1",6.0.1,1.1
33.7838363647,-84.4119186401,295.831604004,2012-11-09 05:20:00,"iPhone4,1",6.0.1,1.1
33.7842407227,-84.4057922363,293,2012-11-09 08:08:32,"iPhone4,1",6.0.1,1.1
33.7840538025,-84.3991012573,303,2012-11-09 08:17:04,"iPhone4,1",6.0.1,1.1
33.775718689,-84.3976135254,280.246795654,2012-11-09 16:55:28,"iPhone4,1",6.0.1,1.1
33.7744750977,-84.3799362183,290.306335449,2012-11-09 22:51:44,"iPhone4,1",6.0.1,1.1
33.7802581787,-84.3887252808,303,2012-11-10 03:22:40,"iPhone4,1",6.0.1,1.1
33.7761497498,-84.3846664429,303,2012-11-10 03:46:08,"iPhone4,1",6.0.1,1.1
33.7664642334,-84.3740463257,289.630096436,2012-11-10 05:07:12,"iPhone4,1",6.0.1,1.1
33.7743988037,-84.3797149658,291.316192627,2012-11-10 05:22:08,"iPhone4,1",6.0.1,1.1
33.7732467651,-84.3635482788,303,2012-11-10 19:18:24,"iPhone4,1",6.0.1,1.1
33.772441864,-84.3831481934,303,2012-11-10 19:35:28,"iPhone4,1",6.0.1,1.1
33.7765769958,-84.3854293823,307.802276611,2012-11-10 19:48:16,"iPhone4,1",6.0.1,1.1
33.774394989,-84.3799819946,291.092651367,2012-11-11 00:10:40,"iPhone4,1",6.0.1,1.1
33.7762374878,-84.3850784302,313.6065979,2012-11-11 00:38:24,"iPhone4,1",6.0.1,1.1
33.774597168,-84.3800354004,291.187652588,2012-11-11 02:22:56,"iPhone4,1",6.0.1,1.1
33.7734527588,-84.3653106689,293.352630615,2012-11-11 02:35:44,"iPhone4,1",6.0.1,1.1
33.7726821899,-84.3390579224,302,2012-11-11 02:44:16,"iPhone4,1",6.0.1,1.1
33.7731704712,-84.3542633057,303,2012-11-11 02:52:48,"iPhone4,1",6.0.1,1.1
33.7747764587,-84.3661346436,303,2012-11-11 15:13:04,"iPhone4,1",6.0.1,1.1
33.7706565857,-84.381072998,273.208251953,2012-11-11 15:19:28,"iPhone4,1",6.0.1,1.1
33.7766914368,-84.3834152222,308.189971924,2012-11-11 23:51:28,"iPhone4,1",6.0.1,1.1
33.7660522461,-84.3733596802,294,2012-11-12 16:17:04,"iPhone4,1",6.0.1,1.1
